"S_ID","PREF_CLASS_YEAR","BUS_EMPLOYER_NAME1","BUS_JOB_TITLE","BUS_FIELD_OF_WORK_CODE","BUS_FIELD_OF_WORK_DESC","BUS_STATE","BUS_DATE_MODIFIED"
"S990418","2003","Supreme Court of the State of NY","Law Clerk","1320","Law","NY",10-DEC-08
"S990419","2003","All Creatures Animal Hospital","Veterinarian","1590","Veterinary/Animal Care","IL",26-JUL-11
"S990420","2003","The Mountain School","Alumni Fundraising","1210","Fundraising/Development"," ",07-OCT-10
"S990421","2003"," "," "," "," "," ",
"S990422","2003"," "," "," "," "," ",
"S990423","2003","Young Audiences of Massachusetts","Program Coordinator","1050","Arts"," ",12-NOV-12
"S990424","2003","Stion Corporation","Business Development Manager","1160","Energy Industries","CA",02-DEC-10
"S990425","2003","Hunter Douglas Hospitality","Project Manager","1610","Other","IL",26-OCT-05
"S990426","2003"," "," "," "," "," ",
"S990427","2003","Sentry Insurance Company"," ","1280","Insurance"," ",12-FEB-10
"S990428","2003","Mathematica Policy Research","Public Policy Consultant","1120","Consulting","IL",27-SEP-10
"S990429","2003","Vanderbilt University Medical Ctr.","Resident-Internal Med. & Pediatrics","1370","Medicine","TN",20-NOV-07
"S990431","2003"," "," "," "," "," ",
"S990432","2003","SoundPortraits Productions","Associate Producer","1070","Broadcast-Radio/Television"," ",09-OCT-06
"S990433","2003","Saint Louis University","Law Student","1230","Graduate Studies"," ",07-OCT-04
"S990434","2003"," "," "," "," "," ",
"S990435","2003"," "," "," "," "," ",
"S990436","2003"," "," "," "," "," ",
"S990438","2003"," "," "," "," "," ",
"S990441","2003","O'Neill and Associates","Associate Director","1470","Public Relations","MA",16-SEP-09
"S990442","2003"," "," "," "," "," ",
"S990443","2003","People's Clinic/Clinica","Registered Nurse","1430","Nursing","CO",13-DEC-11
"S990444","2003","Sunbelt Staffing","School Psychologist","1130","Education (Elementary)"," ",31-AUG-11
"S990445","2003","The Roeper School","Upper School English Teacher","1140","Education (Secondary)","MI",06-FEB-12
"S990446","2003","Shearman & Sterling LLP","Associate","1320","Law"," ",11-DEC-09
"S990447","2003","WildeFlower Event Designs","Owner/Head Designer","1080","Business","ME",10-MAR-06
"S990448","2003","Worthington Biochemical Corp.","Biochemist","1500","Research,Scientific","NJ",09-JUN-09
"S990449","2003","Fairfield County Community Fdn.","Communications Manager","1100","Communications","CT",05-JAN-09
"S990450","2003","Northwestern University","Program Asst. in Student Affairs","1425","Non-Profit Adminstration"," ",18-SEP-06
"S990452","2003"," "," "," "," "," ",
"S990453","2003","Salvation Army"," ","1600","Volunteer","OH",03-JUN-04
"S990454","2003","University of Aberdeen","Grad.Student-Himalayan Ethnobotany","1230","Graduate Studies"," ",08-OCT-09
"S990455","2003","Scholastic Book Clubs","Assoc. Dir. of Title Presentation","1460","Publishing"," ",12-NOV-12
"S990456","2003","Global Greengrants Fund","Deputy Director of Dev. & Coms.","1210","Fundraising/Development","CO",14-JUN-10
"S990458","2003","Rebecca School","Teacher","1140","Education (Secondary)"," ",07-OCT-08
"S990459","2003","Creative Artists Agency"," ","1050","Arts"," ",12-NOV-12
"S990461","2003"," "," "," "," "," ",
"S990462","2003"," "," "," "," "," ",
"S990463","2003","Pfizer","Biology Scientist","1500","Research,Scientific"," ",10-NOV-10
"S990467","2003"," "," "," "," "," ",
"S990474","2003","Self Employed","Musician, Composer, Producer","1420","Music"," ",04-NOV-09
"S990475","2003","Education Non-Profit"," ","1610","Other"," ",14-NOV-11
"S990478","2003","CSSI, Inc.","Researcher","1220","Government"," ",25-JUL-11
"S990480","2003"," "," "," "," "," ",
"S990481","2003","McKinsey & Co.","Management Consulting","1120","Consulting"," ",18-JUN-10
"S990482","2003","Art Institute of Chicago","Visitor Services Manager","1410","Museum Work","IL",26-MAY-09
"S990487","2003","Hope Academy East","Assistant Teacher","1140","Education (Secondary)"," ",07-SEP-05
"S990488","2003"," "," "," "," "," ",
"S990490","2003","Oak Hills Local School District","School Psychologist","1450","Psychology/Counseling/Therapy","OH",23-DEC-08
"S990493","2003","Boston University-Sargent Center","Outdoor Education Instructor","1140","Education (Secondary)","NH",21-OCT-03
"S990495","2003"," "," "," "," "," ",
"S990507","2003","Ogletree Deakins","Attorney","1320","Law"," ",10-JUN-11
"S200001","2004"," "," "," "," "," ",
"S200002","2004","United States Army","Captain","1390","Military"," ",24-JUL-07
"S200003","2004"," "," "," "," "," ",
"S200004","2004","Morgan Stanley","Associate","1300","Investment/Securities","NY",26-JUL-11
"S200005","2004"," "," "," "," "," ",
"S200006","2004","American Antiquarian Society","Assistant Reference Librarian","1340","Library Science","MA",18-SEP-08
"S200009","2004","Employer Unknown","Early Int.Therapist-Stud.withAutism","1130","Education (Elementary)"," ",29-AUG-11
"S200010","2004"," "," "," "," "," ",
"S200011","2004","Brookfield Properties","Investor Relations","1610","Other"," ",15-OCT-09
"S200012","2004","Employer Unknown","Wildlife Biologist","1190","Environment/Ecology"," ",29-NOV-11
"S200014","2004","City of Oakland","Community Gardens Coordinator","1610","Other"," ",17-JAN-11
"S200017","2004","Tufts University","Graduate Student","1230","Graduate Studies"," ",18-JAN-08
"S200018","2004","Orrick, Herrington & Sutcliffe","Associate","1320","Law","DC",08-DEC-09
"S200020","2004","Self Employed","Personal Chef","1260","Hotel/Food Management"," ",28-JAN-08
"S200021","2004","GE","Financial Analyst"," "," "," ",08-FEB-05
"S200022","2004","Northern Arizona University","Graduate Student","1230","Graduate Studies","AZ",27-JAN-10
"S200024","2004","General Electric","Manager-Global Digital Strategy Grp","1125","ECommerce/Web"," ",05-JAN-12
"S200025","2004","University of Wisconsin","Graduate Student","1230","Graduate Studies"," ",09-NOV-04
"S200027","2004","Rolling Stone Magazine","Associate Editor","1460","Publishing","NY",09-OCT-07
"S200028","2004","Dynavax Technologies","Research Associate","1500","Research,Scientific","CA",27-NOV-07
"S200029","2004","Employer Unknown","Set Lighting Technician","1180","Entertainment"," ",05-OCT-12
"S200030","2004","Johns Hopkins Univ. Schl. of Med.","Medical Student","1230","Graduate Studies"," ",09-APR-12
"S200031","2004","Mary Anne Thompson Associates","Literary Scout","1460","Publishing","NY",07-APR-10
"S200032","2004","Presbyterian Hospital","Nursing Technician","1370","Medicine","NM",20-OCT-06
"S200033","2004","Bard","Study Abroad Advisor","1610","Other"," ",18-JAN-12
"S200034","2004","Ogilvy","Senior Account Executive","1020","Advertising","NY",04-APR-07
"S200035","2004"," "," "," "," "," ",
"S200036","2004","Department of the Treasury","Analyst","1220","Government","DC",25-MAY-10
"S200037","2004","Andrews Osborne Academy"," ","1140","Education (Secondary)"," ",03-FEB-12
"S200038","2004","Bloomsburg University","Assistant Professor","1150","Education (Higher Education)","PA",08-DEC-10
"S200039","2004"," "," "," "," "," ",
"S200040","2004","Anglican Church of Canada","Parish Priest","1400","Ministry"," ",26-JUN-12
"S200041","2004","Baltimore City Teaching Residency"," ","1140","Education (Secondary)"," ",03-MAR-10
"S200042","2004","Dalmatia Imports, Inc."," "," "," ","FL",07-APR-05
"S200043","2004","Virginia Tech","Vet Assistant-Student","1590","Veterinary/Animal Care"," ",26-JAN-06
"S200045","2004"," "," "," "," "," ",
"S200046","2004","Seven Counties Services","Therapist-School Based Services","1530","Social Work/Human Services","KY",05-SEP-06
"S200048","2004"," "," "," "," "," ",28-JAN-08
"S200049","2004","University of Hawaii Manoa","Studt-Work in hospital EM room","1230","Graduate Studies"," ",12-FEB-09
"S200051","2004","Wendy Weil Agency","Literary Agent","1460","Publishing","NY",04-FEB-05
"S200052","2004","Phillips Foods","Business Development","1510","Sales","MD",07-JUN-11
"S200053","2004"," "," "," "," "," ",
"S200054","2004","The College of William and Mary","Assistant Swim Coach","1540","Sports","VA",26-AUG-09
"S200055","2004","Boston Police Crime Laboratory","Criminalist","1220","Government"," ",09-JAN-07
"S200058","2004"," "," "," "," "," ",
"S200059","2004","Overlook Press","Editor"," "," "," ",02-OCT-06
"S200060","2004"," "," "," "," "," ",
"S200061","2004"," "," "," "," "," ",
"S200062","2004"," "," "," "," "," ",
"S200063","2004"," "," "," "," "," ",
"S200065","2004"," "," "," "," "," ",
"S200066","2004","DeLoitte & Touche LLP","Senior Consultant","1120","Consulting","VA",21-APR-11
"S200067","2004","Scripps","Clinical Trials Coordinator","1430","Nursing","CA",26-JUL-11
"S200068","2004"," "," "," "," "," ",
"S200069","2004","Stella & Dot","Director","1610","Other"," ",22-SEP-11
"S200070","2004","Morgan Stanley","Associate, Institutional Securities","1060","Banking","NY",04-APR-11
"S200071","2004","Conductor","Account Executive","1510","Sales"," ",27-SEP-12
"S200072","2004","The Potomac School","Upper School Math Teacher","1140","Education (Secondary)"," ",16-APR-09
"S200074","2004"," "," "," "," "," ",
"S200077","2004","Employer Unknown","Children's Book Editor"," "," "," ",29-SEP-06
"S200078","2004","LREI","Teach 8th Grade English/History","1140","Education (Secondary)","NY",13-JAN-11
"S200079","2004","Wessex Archaeology","Marine Geophysicist","1610","Other"," ",15-FEB-12
"S200080","2004","Inside Defense","Associate Editor","1310","Journalism","VA",10-AUG-11
"S200081","2004"," "," "," "," "," ",
"S200082","2004","Chadwick Martin Bailey","Project Manager","1360","Marketing/Market Research","MA",25-JUN-08
"S200084","2004"," "," "," "," "," ",
"S200085","2004","School Unknown","Graduate Student","1230","Graduate Studies"," ",05-APR-07
"S200086","2004","RZed Ltd","Senior Account Manager","1020","Advertising"," ",31-JUL-12
"S200087","2004"," "," "," "," "," ",
"S200088","2004","Ally Financial","Banking","1060","Banking","NY",12-NOV-10
"S200090","2004","The Greenwich Country Day School","Upper School English Teacher","1140","Education (Secondary)","CT",19-MAR-12
"S200091","2004","Chicago News Cooperative","Staff Writer & Editor of Web Site","1310","Journalism"," ",27-SEP-10
"S200093","2004","Here and Now Films","Producer-Writer-Director","1180","Entertainment"," ",08-FEB-11
"S200094","2004","Analytic Partners","Marketing Consultant","1360","Marketing/Market Research"," ",28-FEB-12
"S200097","2004","Jack Morton Worldwide","Program Manager","1360","Marketing/Market Research","CA",06-JAN-12
"S200098","2004"," "," "," "," "," ",
"S200100","2004","PSS World Medical","Medical Sales Consultant","1510","Sales"," ",30-SEP-04
"S200101","2004","Pittsburgh Public Schools","Strategic Data Fellow","1140","Education (Secondary)"," ",06-SEP-12
"S200102","2004","Jewish Child and Family Services","Clinical Psychologist","1450","Psychology/Counseling/Therapy"," ",29-JUN-11
"S200103","2004","Thomas S. Wootton High School","English Teacher","1140","Education (Secondary)","MD",27-SEP-06
"S200104","2004","Lewis & Clark Law","Law Student","1320","Law"," ",17-JAN-11
"S200105","2004","Peace Corps","Volunteer","1600","Volunteer"," ",20-OCT-05
"S200106","2004","University of Chicago Medical Ctr.","Finance Manager","1250","Health Care","IL",24-AUG-10
"S200107","2004","Wells Fargo","Project Manager"," "," "," ",12-FEB-08
"S200108","2004"," "," "," "," "," ",
"S200109","2004","Kenyon College","Director of Parent Giving","1210","Fundraising/Development","OH",27-SEP-07
"S200110","2004","UCLA English Department","Graduate Student","1230","Graduate Studies","CA",01-JUL-08
"S200111","2004","University of Chicago Hospital","Registered Nurse","1430","Nursing"," ",28-APR-10
"S200112","2004","Louisville Collegiate School","8th Gr.English Teacher/Tennis Coach","1140","Education (Secondary)","KY",04-NOV-08
"S200113","2004","20th Century Fox TV Studio","Writer/Writer's Assistant","1580","Writing"," ",12-FEB-09
"S200114","2004"," "," "," "," "," ",
"S200115","2004","Friends Academy","Teacher","1140","Education (Secondary)"," ",05-MAY-09
"S200116","2004","James Moro Photography","Wedding/Portrait Photographer","1440","Photography"," ",31-OCT-12
"S200117","2004"," "," "," "," "," ",
"S200118","2004","Deloitte","Business Consultant","1120","Consulting"," ",17-JAN-11
"S200119","2004","The Chartis Group"," ","1610","Other"," ",27-OCT-10
"S200120","2004","Center for Strategic & Int'l Studies","Fellow, National Security/Defense","1220","Government","DC",02-NOV-12
"S200121","2004","Rock and Roll Hall of Fame & Museum","Marketing Coordinator","1020","Advertising","OH",21-JAN-10
"S200122","2004","University of Virginia","Graduate Student","1230","Graduate Studies"," ",03-FEB-12
"S200123","2004"," "," "," "," "," ",
"S200124","2004","Harrison Community Hospital","Family Physician","1370","Medicine","OH",17-AUG-11
"S200125","2004","LRRI","Research Technologist","1500","Research,Scientific","NM",27-AUG-10
"S200126","2004","Ameriprise","Financial Advisor","1200","Finance","IL",11-MAY-11
"S200128","2004","Indiana University-Bloomington","Graduate Student-PhD","1230","Graduate Studies","IN",21-SEP-09
"S200129","2004","American Institutes for Research","Education Research Associate","1490","Research, Other","DC",05-SEP-12
"S200130","2004","St. Lukes Episcopal Church","Priest-in-Charge","1400","Ministry"," ",03-OCT-12
"S200131","2004","Thomas Jefferson Univ. Hospital","Registered Nurse","1430","Nursing","PA",13-JAN-12
"S200133","2004"," "," "," "," "," ",
"S200134","2004","University of California at Irvine","Graduate Student-Spanish","1150","Education (Higher Education)"," ",26-JUL-07
"S200135","2004","Carlow University","Doctoral Student-Psychology","1230","Graduate Studies"," ",22-SEP-11
"S200138","2004","Flashpoint Academy","Student","1610","Other"," ",20-FEB-09
"S200139","2004"," "," "," "," "," ",
"S200140","2004","Focused Energy","Sales Operations Lead","1160","Energy Industries","NM",28-JUN-12
"S200141","2004","Fine Arts Museums of San Francisco","Mgr.of Visitor Svcs & Vol. Programs","1410","Museum Work"," ",12-JAN-10
"S200142","2004"," "," "," "," "," ",
"S200143","2004","Yale University","Graduate Student","1230","Graduate Studies"," ",17-FEB-09
"S200144","2004","Boston University","Graduate Student","1230","Graduate Studies"," ",10-DEC-09
"S200145","2004","Oregon State University","Instructor/Teaching Assistant","1150","Education (Higher Education)","OR",19-NOV-07
"S200146","2004","Chicago College of Osteopathic Med.","Graduate Student","1230","Graduate Studies"," ",12-NOV-12
"S200148","2004","Democracy Prep Charter School","6th Grade Reading Teacher","1140","Education (Secondary)","NY",14-JUN-06
"S200149","2004","At Play Productions","Artistic Director","1050","Arts"," ",07-APR-10
"S200150","2004"," "," "," "," "," ",
"S200151","2004"," "," "," "," "," ",
"S200152","2004","Kaplan Test Prep & Admissions","Operations Director","1080","Business","MD",04-JAN-08
"S200153","2004","JVA Consulting","Research & Evaluation Associate","1120","Consulting"," ",28-APR-10
"S200155","2004","University of Illinois-Champaign","Graduate Student-Microbiology","1230","Graduate Studies","IL",28-JAN-08
"S200156","2004","University of Maine","Graduate Student","1230","Graduate Studies"," ",08-NOV-10
"S200157","2004","Travel Nursing Agency","Registered Nursing","1430","Nursing"," ",10-SEP-09
"S200158","2004","Medical University of South Carolina","Clinical Counselor","1450","Psychology/Counseling/Therapy"," ",02-OCT-09
"S200160","2004","Dominion Academy","Teacher","1140","Education (Secondary)","VA",23-MAR-07
"S200161","2004"," "," "," "," "," ",
"S200162","2004","Univ. of Colorado-Colorado Springs","Asst. Professor/Lacrosse Coach","1150","Education (Higher Education)"," ",12-OCT-12
"S200163","2004","Mental Health Advocacy Coalition","Program and Policy Director","1610","Other","OH",25-OCT-12
"S200165","2004","University of New Hampshire","Assistant Football Coach","1540","Sports","NH",01-APR-08
"S200166","2004","U.S. Navy","Lieutenant (LT)","1390","Military"," ",26-APR-10
"S200167","2004","Washington University","Graduate Student MSW-MPH","1230","Graduate Studies"," ",17-APR-12
"S200168","2004","Perkins Coie LLP","Attorney","1320","Law","IL",26-JAN-12
"S200169","2004"," "," "," "," "," ",
"S200170","2004","New York Col. Osteopathic Medicine","Student","1230","Graduate Studies"," ",12-FEB-09
"S200171","2004","Utility Concrete Products"," ","1610","Other","IL",10-MAR-10
"S200172","2004","University of Cincinnati","Medical Student","1230","Graduate Studies"," ",09-MAY-12
"S200173","2004","Employer Unknown","Engineer","1170","Engineering","NY",28-APR-10
"S200174","2004","Kentucky Country Day School","4th Gr.Tchr/Dev.Cord/V.Baseball Cch","1130","Education (Elementary)","KY",25-JUL-11
"S200175","2004","Fairfax County Public Schools","7th Grade English Teacher","1140","Education (Secondary)"," ",02-SEP-09
"S200176","2004","Ellen Tracy","Marketing Manager","1360","Marketing/Market Research"," ",09-SEP-09
"S200177","2004"," "," "," "," "," ",
"S200178","2004","National Institute of Mental Health","IRTA Postdoctoral Fellow","1500","Research,Scientific"," ",31-JAN-12
"S200179","2004","CUA National Sch. of Social Service","Full-time Student","1530","Social Work/Human Services"," ",26-FEB-10
"S200180","2004"," "," "," "," "," ",
"S200181","2004"," "," "," "," "," ",
"S200182","2004","Keep Antibiotics Working","Coalition Manager","1425","Non-Profit Adminstration","IL",26-APR-12
"S200183","2004","Employer Unknown","Nurse","1250","Health Care"," ",09-JUL-12
"S200184","2004"," "," "," "," "," ",
"S200185","2004"," "," "," "," "," ",
"S200186","2004"," "," "," "," "," ",
"S200187","2004"," "," "," "," "," ",
"S200189","2004","Employer Unknown","Sports Author","1580","Writing"," ",18-JAN-12
"S200190","2004"," "," "," "," "," ",
"S200191","2004","Round House Theatre","Education Manager","1610","Other"," ",06-OCT-10
"S200192","2004","University School","History Teacher","1140","Education (Secondary)","OH",29-JUL-10
"S200193","2004","School District of Philadelphia"," "," "," "," ",16-NOV-06
"S200195","2004","Environmental Protection Agency","Environmental Policy Analyst","1220","Government","DC",03-AUG-10
"S200196","2004","Quirk Books"," ","1460","Publishing","PA",25-FEB-08
"S200197","2004"," "," "," "," "," ",
"S200199","2004","The Ohio State University"," ","1430","Nursing","OH",08-MAR-06
"S200201","2004"," "," "," "," "," ",
"S200202","2004","Employer Unknown"," ","1610","Other"," ",15-OCT-12
"S200203","2004","The Bloomsburg Hospital","Caseworker","1530","Social Work/Human Services","PA",11-MAY-10
"S200204","2004","University of Miami","Law School","1320","Law"," ",20-FEB-09
"S200205","2004"," "," "," "," "," ",
"S200206","2004","Morningstar Inc.","Marketing Manager","1200","Finance","IL",28-SEP-11
"S200207","2004","Cleveland Heights School District","High School English Teacher","1140","Education (Secondary)"," ",26-FEB-07
"S200208","2004","U. S. Government","Analyst","1220","Government"," ",08-DEC-09
"S200209","2004","Self Employed","Freelance Editor","1580","Writing"," ",14-OCT-11
"S200210","2004","UToronto-Standardizing Patient Prog","Standardized Patient","1435","Performing Arts"," ",26-JUN-12
"S200213","2004","Dynasty Dance Club","Dance Instructor","1050","Arts"," ",24-OCT-12
"S200214","2004"," "," "," "," "," ",
"S200215","2004","USC Keck School of Medicine","Graduate Student","1230","Graduate Studies"," ",14-SEP-11
"S200216","2004"," "," "," "," "," ",
"S200217","2004"," "," "," "," "," ",
"S200218","2004"," "," "," "," "," ",
"S200219","2004","Dowling Walsh Gallery","Gallery Manager","1050","Arts"," ",19-APR-12
"S200220","2004","Employer Unknown","School Psychologist","1130","Education (Elementary)"," ",29-JUN-10
"S200221","2004","University of Tampa","Adjunct Professor","1050","Arts"," ",
"S200222","2004","Columbia Grad. School of Journalism","Asst Dir-Columbia Publishing Course","1460","Publishing"," ",30-SEP-08
"S200223","2004"," "," "," "," "," ",
"S200224","2004","Navigant Consulting","Senior Energy Consultant","1160","Energy Industries","DC",23-AUG-12
"S200225","2004","Brook Park Fire Department","Firefighter/EMT","1610","Other","OH",17-MAR-08
"S200226","2004"," "," "," "," "," ",
"S200227","2004","Lake Ridge Academy","Director of Development","1210","Fundraising/Development"," ",15-OCT-09
"S200229","2004","USGS Nat'l Wildlife Health Center","Wildlife Biologist/Volunteer Coord.","1190","Environment/Ecology"," ",29-SEP-11
"S200230","2004"," "," "," "," "," ",
"S200231","2004","Susquehanna University","Asst.Dir.Res.Life for Civic Engage.","1150","Education (Higher Education)"," ",15-AUG-12
"S200232","2004"," "," "," "," "," ",
"S200233","2004"," "," "," "," "," ",
"S200234","2004","George Washington's Mount Vernon","History Interpreter","1410","Museum Work"," ",04-OCT-12
"S200235","2004"," "," "," "," "," ",
"S200236","2004"," "," "," "," "," ",
"S200237","2004"," "," "," "," "," ",
"S200238","2004","University of Wisconsin-Madison","Student","1370","Medicine"," ",26-JUL-06
"S200239","2004"," "," "," "," "," ",
"S200240","2004","Advertising Specialty Institute","Staff Writer","1310","Journalism","PA",22-AUG-08
"S200241","2004","Lake Ridge Academy","Teacher","1140","Education (Secondary)"," ",30-SEP-04
"S200242","2004","Virginia Wesleyan College","Assistant Professor of Psychology","1150","Education (Higher Education)","VA",17-OCT-12
"S200244","2004"," "," "," "," "," ",
"S200245","2004"," "," "," "," "," ",
"S200246","2004"," "," "," "," "," ",
"S200248","2004","Coalition for Juvenile Justice","Conference and Info Services Mgr.","1425","Non-Profit Adminstration","DC",21-SEP-10
"S200250","2004","Ashford University","Professor of Environmental Science","1150","Education (Higher Education)","CA",23-MAY-12
"S200252","2004","Marcus & Millichap Real Estate","Market Analyst","1360","Marketing/Market Research","DC",20-FEB-06
"S200254","2004","Health Resources and Services"," ","1220","Government"," ",16-MAY-12
"S200255","2004","Marywood University","Graduate Student/TSS Worker","1230","Graduate Studies"," ",09-DEC-09
"S200257","2004","Vienna Insurance Group","Risk Manager","1280","Insurance"," ",05-MAR-12
"S200258","2004","Capstone Advisory Group","Director, Valuation Services","1200","Finance","CA",13-MAR-12
"S200259","2004"," "," "," "," "," ",
"S200260","2004","Representative Jim Cooper","Communications Director","1220","Government"," ",15-MAY-07
"S200261","2004"," "," "," "," "," ",
"S200262","2004","University of North Texas","Graduate Student","1230","Graduate Studies"," ",12-APR-10
"S200264","2004","Catholic University of America","Law Student","1230","Graduate Studies"," ",06-OCT-09
"S200265","2004","Cincinnati Children's Hospital","Resident Student","1370","Medicine"," ",22-APR-10
"S200266","2004","Universita Bocconi","Copy Editor","1150","Education (Higher Education)"," ",25-AUG-06
"S200267","2004","Winchester Public Schools","Elementary General Music Teacher"," "," "," ",12-MAY-11
"S200269","2004","Barg Coffin Lewis & Trapp LLP","Legal Assistant","1320","Law","CA",24-JAN-07
"S200270","2004"," "," "," "," "," ",
"S200271","2004","The Ohio State University","Graduate Student","1230","Graduate Studies","OH",21-MAY-09
"S200273","2004"," "," "," "," "," ",
"S200275","2004","Employer Unknown","Law","1320","Law"," ",20-APR-09
"S200276","2004","School Unknown","Grad Student-MBA Program","1230","Graduate Studies"," ",16-OCT-06
"S200277","2004"," "," "," "," "," ",
"S200278","2004","University of Michigan","PhD Student-English","1230","Graduate Studies"," ",08-OCT-09
"S200280","2004"," "," "," "," "," ",
"S200282","2004","University of Pennsylvania","Grad. Student-Robotics Engineering","1230","Graduate Studies"," ",20-FEB-09
"S200283","2004"," "," "," "," "," ",
"S200285","2004","ING","Credit Analyst","1610","Other"," ",17-NOV-10
"S200286","2004","University of Texas at Austin","Grad.Studt-MS Urban Design/Planning","1230","Graduate Studies"," ",13-FEB-12
"S200287","2004"," "," "," "," "," ",
"S200289","2004"," "," "," "," "," ",
"S200290","2004"," "," "," "," "," ",
"S200291","2004","No Employer","Stay-at-Home Mom","1240","Homemaker"," ",06-FEB-12
"S200292","2004","University of Texas","Graduate Student","1230","Graduate Studies"," ",06-DEC-11
"S200294","2004","Ogilvy and Mather","Senior Consultant","1360","Marketing/Market Research","NY",27-JUL-11
"S200295","2004","New York University","Law Student","1320","Law"," ",23-JUL-09
"S200296","2004"," "," "," "," "," ",
"S200298","2004"," "," "," "," "," ",
"S200299","2004","University of Chicago","Grad Student-PhD Chemistry","1230","Graduate Studies"," ",03-OCT-07
"S200302","2004"," "," "," "," "," ",
"S200303","2004","Fletcher School of Law & Diplomacy","M.A. Candidate","1230","Graduate Studies"," ",03-DEC-10
"S200304","2004","Thales Communications Inc.","Trade Compliance Manager","1610","Other"," ",28-SEP-12
"S200305","2004","Instinet","Vice President","1200","Finance","NY",10-APR-09
"S200307","2004","Self Employed","Freelance Artist","1050","Arts"," ",02-FEB-05
"S200308","2004","National Home Health Care","Office Administration","1250","Health Care","VA",18-NOV-08
"S200311","2004","Baruch College","Writing Consultant","1580","Writing","NY",30-NOV-12
"S200312","2004","Philadelphia University","Graduate Student","1230","Graduate Studies"," ",05-SEP-07
"S200313","2004","Thomas Jefferson Univ. Hospital","Internal Medicine Resident","1250","Health Care","PA",09-JUN-11
"S200314","2004","Brooklyn Law School","Law School Student","1230","Graduate Studies"," ",08-OCT-07
"S200315","2004","Employer Unknown","ESL Teacher"," "," "," ",18-SEP-06
"S200316","2004"," "," "," "," "," ",
"S200317","2004","Hunter College School of Education","Adjunct Assistant Professor","1150","Education (Higher Education)","NY",29-OCT-12
"S200318","2004"," "," "," "," "," ",
"S200319","2004","Self Employed"," ","1520","Self Employed"," ",06-DEC-10
"S200320","2004","Environmental Defense Fund","Development Assistant","1610","Other"," ",23-JUN-09
"S200321","2004","Deloitte Consulting LLP","Senior Consultant","1120","Consulting","MA",16-JUN-11
"S200322","2004","Polaris Project","Clinical Social Worker","1530","Social Work/Human Services","DC",31-JAN-12
"S200323","2004","Employer Unknown","Attorney","1320","Law"," ",26-MAR-10
"S200324","2004"," "," "," "," "," ",
"S200325","2004","ABC 7 News, News Channel 8 WJLA","Associate Producer","1070","Broadcast-Radio/Television","VA",27-AUG-12
"S200326","2004","Department of Homeland Security","Policy Analyst","1220","Government","DC",13-AUG-09
"S200327","2004","Wright Institute","Doctoral Student-Clinical Psyc.","1230","Graduate Studies"," ",03-MAR-10
"S200328","2004","School Unknown","High School Religious Studies Tchr.","1140","Education (Secondary)"," ",10-DEC-07
"S200329","2004","Alexandria City Public Schools","Music Teacher","1140","Education (Secondary)"," ",29-NOV-07
"S200330","2004","Faculty of Law, University of Delhi","Graduate Student-LLB","1230","Graduate Studies"," ",23-JAN-07
"S200331","2004","Employer Unknown","Psychotherapist","1450","Psychology/Counseling/Therapy"," ",23-APR-10
"S200332","2004"," "," "," "," "," ",
"S200333","2004","BrainLAB Inc.","Support Specialist","1170","Engineering","MD",27-NOV-07
"S200335","2004","Self Employed","Lawyer","1320","Law"," ",27-FEB-12
"S200337","2004"," "," "," "," "," ",
"S200338","2004","State Street Bank","Senior Associate","1060","Banking"," ",05-OCT-09
"S200339","2004"," "," "," "," "," ",
"S200340","2004","St.Hope Leadership Acad.Chart.Schl.","English Teacher/HS Placement Coord.","1140","Education (Secondary)"," ",11-OCT-10
"S200341","2004","University of Chicago","PhD Candidate","1230","Graduate Studies","IL",01-DEC-11
"S200342","2004","Cleveland Clinic","Pediatrician","1370","Medicine","OH",10-JUL-12
"S200343","2004","Rosa Mexicano","Sales/Marketing","1260","Hotel/Food Management"," ",16-JUN-08
"S200344","2004"," "," "," "," "," ",
"S200345","2004","Thomson Reuters","Product Support-Tax/Acctng Software","1610","Other"," ",07-OCT-10
"S200346","2004","Cincinnati Childrens Hospital","Nurse Practitioner","1430","Nursing"," ",09-MAY-12
"S200348","2004","Suffolk University","Law Student","1230","Graduate Studies"," ",06-JUL-12
"S200349","2004","Goldman Sachs","Operations Associate","1200","Finance","NY",03-APR-07
"S200351","2004","Magic Theatre","Artistic Director Apprentice","1435","Performing Arts"," ",17-JAN-11
"S200352","2004","Johns Hopkins University","PhD Student","1230","Graduate Studies","MD",30-SEP-04
"S200353","2004","Phillips Public Library","Director","1340","Library Science","WI",16-MAR-09
"S200354","2004","Cornell University","PhD Student","1500","Research,Scientific"," ",07-OCT-04
"S200355","2004","Dartmouth Hitchcock Medical Center","Clinical Pharmacy Specialist","1370","Medicine"," ",08-SEP-10
"S200356","2004"," "," "," "," "," ",
"S200357","2004","Self Employed","Stay at Home Mother","1240","Homemaker","OH",07-MAR-12
"S200358","2004","Vermont Superior Courts","Law Clerk","1320","Law","VT",15-SEP-11
"S200359","2004"," "," "," "," "," ",
"S200360","2004","Esquire Magazine","Writer","1580","Writing"," ",04-MAY-10
"S200361","2004"," "," "," "," "," ",
"S200362","2004","University of Tennessee","Law Student","1320","Law"," ",21-OCT-05
"S200363","2004","Trinity College","Student-M.Phil. Irish Writing","1230","Graduate Studies"," ",28-JUL-11
